Platform	Name	Entity	Last IP address	Device model	Device type	OS version and architecture	OS name	Total RAM [bytes]	CPU model	Hard disks	DXS - Device (DXS - Device)	DXS - Web browsing (DXS - Web browsing)	DXS - Security (DXS - Security)	DXS - Productivity (DXS - Productivity)	DXS - Business apps (DXS - Business apps)	Device (sentiment) (DXS - User sentiments)	Web browsing (sentiment) (DXS - User sentiments)	Productivity (sentiment) (DXS - User sentiments)	Security (sentiment) (DXS - User sentiments)	Employee Satisfaction (DXS - User sentiments)	Business apps (sentiment) (DXS - User sentiments)
Windows	MIDABICKNELL-L2	Seward (PA)	10.3.45.153	Latitude E5570	laptop	Windows 10 Enterprise 1709 (64 bits)	Windows 10	8589934592	Intel Core i5-6300U CPU @ 2.40GHz	SanDisk X400 M.2 2280 128GB (119.2GB, 90% S.M.A.R.T.)	0	10	10	5.38809	5.63006	10	10	10	10		10
Windows	MIDASZTACHE-D01	Middletown (CT)	10.8.1.135	OptiPlex 7010	desktop	Windows 10 Enterprise 1709 (64 bits)	Windows 10	17179869184	Intel Core i7-3770S CPU @ 3.10GHz	LITEON (119.2GB, 100% S.M.A.R.T.), SanDisk ImageMate II USB Device (0B)	9.81125	10	10	6.49756	4.70891	10	10	10	10		10
Windows	MIDCEMS-D01	Middletown (CT)	10.8.1.178	OptiPlex 9020	desktop	Windows 10 Enterprise 1709 (64 bits)	Windows 10	8589934592	Intel Core i7-4790S CPU @ 3.20GHz	Samsung (119.2GB, 100% S.M.A.R.T.)	9.8446		10	8.06303	5.21103	10	10	10	10		10
Windows	MIDCEMS-D02	Middletown (CT)	10.8.1.191	OptiPlex 7060	desktop	Windows 10 Enterprise 1709 (64 bits)	Windows 10	8589934592	Intel Core i5-8500T CPU @ 2.10GHz	Micron (238.5GB, 100% S.M.A.R.T.)	9.76115		10		5.52931	10	10	10	10		10
Windows	MIDCEMS-D03	Middletown (CT)	10.8.1.193	OptiPlex 7060	desktop	Windows 10 Enterprise 1709 (64 bits)	Windows 10	8589934592	Intel Core i5-8500T CPU @ 2.10GHz	Micron (238.5GB, 100% S.M.A.R.T.)	9.69765		10		5.40206	10	10	10	10		10
Windows	MIDCEMS-D04	Middletown (CT)	10.8.1.192	OptiPlex 7060	desktop	Windows 10 Enterprise 1709 (64 bits)	Windows 10	8589934592	Intel Core i5-8500T CPU @ 2.10GHz	Micron (238.5GB, 100% S.M.A.R.T.)	9.7426		10		5.51217	10	10	10	10		10
Windows	MIDCEMS-D1	Middletown (CT)	10.8.1.144	OptiPlex 9010	desktop	Windows 7 Professional SP1 (64 bits)	Windows 7	4294967296	Intel Core i7-3770 CPU @ 3.40GHz	Seagate (232.9GB, 100% S.M.A.R.T.)											
Windows	MIDCEMS-D2	Middletown (CT)	10.8.1.54	HP Compaq dc7900 Small Form Factor	desktop	Windows 7 Professional SP1 (64 bits)	Windows 7	4294967296	Intel Core2 Duo CPU E8500 @ 3.16GHz	Seagate (149GB, 100% S.M.A.R.T.)	0		10		4.86274	10	10	10	10		10
Windows	MIDCEMS-D3	Middletown (CT)	10.8.1.142	OptiPlex 9020	desktop	Windows 7 Professional SP1 (64 bits)	Windows 7	4294967296	Intel Core i7-4790S CPU @ 3.20GHz	LITEON (119.2GB, 100% S.M.A.R.T.)	9.54975		10		5.33017	10	10	10	10		10
Windows	MIDCEMS-D4	Middletown (CT)	10.8.1.140	OptiPlex 9020	desktop	Windows 7 Professional SP1 (64 bits)	Windows 7	4294967296	Intel Core i7-4790S CPU @ 3.20GHz	LITEON (119.2GB, 100% S.M.A.R.T.)	9.2551		10		5.32149	10	10	10	10		10
Windows	MIDCHEMISTRY-D1	Middletown (CT)	10.8.1.186	HP Compaq dc7900 Small Form Factor	desktop	Windows 7 Professional SP1 (64 bits)	Windows 7	4294967296	Intel Core2 Duo CPU E8500 @ 3.16GHz	Seagate (149GB, 90% S.M.A.R.T.)											
